id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
in-07331c283ae82aed,indeed,https://www.indeed.com/viewjob?jk=07331c283ae82aed,https://careers.google.com/jobs/results/134797479953474246-senior-software-engineer/,"Senior Software Engineer, AI/ML, Google Cloud Technical Infrastructure",Google,"Sunnyvale, CA, US",2025-06-06,fulltime,direct_data,yearly,166000.0,244000.0,USD,False,,,,,"### **Minimum qualifications:**

* Bachelor’s degree or equivalent practical experience.
* 5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
* 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
* 3 years of experience with one or more of the following: Speech/audio (e.g., technology duplicating and responding to the human voice), reinforcement learning (e.g., sequential decision making), ML infrastructure, or specialization in another ML field.
* 3 years of experience with ML infrastructure (e.g., model deployment, model evaluation, optimization, data processing, debugging).

  

### **Preferred qualifications:**

* Master's degree or PhD in Computer Science or related technical field.
* 1 year of experience in a technical leadership role.
* Experience developing accessible technologies.

**About the job**
-----------------


Google's software engineers develop the next\-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large\-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast\-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full\-stack as we continue to push technology forward.



Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.


The US base salary range for this full\-time position is $166,000\-$244,000 \+ bonus \+ equity \+ benefits. Our salary ranges are determined by role, level, and location. Within the range, individual pay is determined by work location and additional factors, including job\-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.


Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.

**Responsibilities**
--------------------

* Write and test product or system development code.
* Collaborate with peers and stakeholders through design and code reviews to ensure best practices amongst available technologies (e.g., style guidelines, checking code in, accuracy, testability, and efficiency,)
* Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
* Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
* Design and implement solutions in one or more specialized ML areas, leverage ML infrastructure, and demonstrate expertise in a chosen field.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",,https://www.indeed.com/cmp/Google,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fff4be3829cee39e477a518f55475f44,http://goo.gle/3ygdkgv,"Mountain View, CA","10,000+",more than $10B (USD),Our mission is to organize the world’s information and make it universally accessible and useful. ,,,,,,
in-6dbbe4de0bf90513,indeed,https://www.indeed.com/viewjob?jk=6dbbe4de0bf90513,https://vetsource.wd1.myworkdayjobs.com/en-US/vetsource_careers/job/Remote---OR-PTZ/Sr-Data-Analyst---eCommerce_R-100800,Sr. Data Analyst - eCommerce,Vetsource,"OR, US",2025-06-05,fulltime,direct_data,yearly,99849.0,120000.0,USD,True,,,,careers@vetsource.com,"Pets deserve the best care. At Vetsource, we build the foundation for success, enabling those in the pet healthcare profession and industry to thrive. Our data\-powered platform simplifies processes and streamlines systems, helping those we serve create tighter bonds with their customers. From prescription management and pet owner engagement to veterinary business performance data and insights, Vetsource provides comprehensive solutions that give our customers more time and flexibility, and help them foster strong relationships and positive experiences. In a rapidly evolving world, we’re constantly seeking new ways to help our customers chart a course for a better, brighter future for pets and those who care for them.
If you love pets, want to have an impact and join a fantastic organization, Vetsource could be the place for you.*At Vetsource, we know that we do our best work when we have an inclusive and diverse team, where we can draw on our different life experiences to help us deliver innovative solutions for our customers. We are an equal opportunity employer that values diversity, equity, and an inclusive workplace. Research shows that while men apply to jobs when they meet an average of 60% of the criteria, women and other marginalized people tend to only when they check every box. So if you think you might be a good fit for the role, but don't necessarily meet every single requirement on the job posting, we still encourage you to apply.*
WHO WE ARE LOOKING FOR  

Sr. Data Analyst, eCommerce  

The Senior Analyst in this role at Vetsource would be responsible for analyzing large eCommerce datasets, building robust infrastructure in Data Build Tool (dbt) and generating insights and recommendations that support our Retail eCommerce business. Technical leadership demonstrated by this role includes both writing highly optimized SQL and reviewing other analyst work for correctness, robustness and performance, upskilling and mentoring more junior analysts in the process.
This role also takes on complex data projects that are important to the organization, working with stakeholders to use data to guide the business into making high\-impact data\-driven decisions and deliver industry leading data products to our customers. This role will focus on building and maintaining dashboards, analyzing marketing performance, and providing insights to optimize our eCommerce strategy. The ideal candidate will have a strong analytical background with eCommerce platforms.  

  

*This is a full\-time, remote position.*
WHAT YOU’LL DO* Act as a strategic partner to stakeholders, understanding their business needs and aligning data solutions accordingly.
* Able to gather requirements from non\-technical stakeholders for their team's core function and explain the analysis performed to audiences of all technical abilities
* Understand a complex data model with thousands of entities, their relationships and how that data relates to the business
* Optimize complex SQL queries for performance and resilience in a state\-of\-the\-art data warehouse
* Design and maintain sophisticated data models and visualizations, offering a comprehensive view of performance marketing and eCommerce metrics
* Utilize Looker/PowerBI to develop interactive dashboards, reports, and visualizations, offering a comprehensive view of performance marketing and eCommerce metrics
* Suggest and implement technical and non\-technical process improvements on an ongoing basis
* Design KPIs that help business counterparts to understand, measure and take action on their goals
* Provide technical mentorship and training; perform code reviews and apply software engineering best practices to analytics code
* Build models to tackle advanced cleaning and classification tasks like clustering, matching and outlier analysts.
* Provide guidance and project direction to other members of the team and serve as an expert resource within the team
* Lead projects independently


WHAT YOU BRING* Minimum 5 years working experience as analyst, statistician or similar
* Minimum 5 years of experience with of any variety of SQL
* Experience with a data visualization tool (Looker, PowerBI or similar)
* Experience with database design, ETL design and query optimization
* Experience in eCommerce analysis including common KPIs across all phases of the Customer Journey
* Exceptional communication skills – verbal and written


Preferred Qualifications \& Experience:* BS in Mathematics, Economics, Engineering, Computer Science, Information Management or Statistics
* Background in sales, marketing, business, veterinary medicine or finance
* Knowledge of languages or packages for analyzing datasets (Python, SPSS, SAS, R or similar)


Working conditions:* Reliable internet access is required
* Sitting/standing at a desk working on a computer for long periods of time

*\#LI\-Remote \#LI\-ILI*
WHAT CAN YOU EXPECT FROM VETSOURCE
In addition to an inclusive and welcoming culture, Vetsource also offers:* Competitive pay and benefits including medical, vision\*, dental, and life insurance
* Employee Assistance Program
* Pet insurance\* and Virtual vet care
* PTO, Holidays, Floating Holidays, and Volunteer Day
* Retirement Savings Plan (401k/ RRSP) with employer matching program
* Paid parental leave
* Flexible scheduling and remote work where possible
* The opportunity to join one of our Associate Resource Groups, and fun company events!
* *For Canadian based associates these specific benefits are not included*


OUR VALUES
In addition to the benefits listed above, all associates are expected to support and model Vetsource’s Core Values: Do the right thing every time; Treat others the way they want to be treated; Embrace change; Be innovative; Get it done; Enjoy the work! A culture where everyone can thrive!
Pay range (US based applicants): $102,786 \- $120,000 (annualized)
Pay range (CAD based applicants): $99,849 \- $120,000 (annualized)*Actual compensation packages are based on a wide array of factors unique to each candidate, including but not limited to job\-related skills, experience, certifications, relevant education and training, while also considering internal equity.**The statements in this document are intended to describe the general nature and level of work being performed for this role, and are not to be construed as an exhaustive list of responsibilities, duties, and skills required. Our pre\-employment process in the US includes a background check as a part of the hiring process, and will include a drug screen for pharmacy related roles. In the United States, if you need a reasonable accommodation for the online application process due to a disability, please email* *careers@vetsource.com**, or if you have general questions relating to this process. No agencies please. We are an equal opportunity employer.**Vetsource is an E\-verify employer.**www.vetsource.com*",,https://www.indeed.com/cmp/Vetsource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/381ed105e955fca07850bab648f6916b,https://vetsource.com/,"Portland, OR","501 to 1,000",$500M to $1B (USD),"Vetsource® provides innovative pharmacy, technology and business services to the pet health industry and strives to be the most trusted advocate in a rapidly evolving world.",,,,,,
in-d168d77e135d582f,indeed,https://www.indeed.com/viewjob?jk=d168d77e135d582f,https://corporate.visa.com/en/jobs/REF84155L,Data Scientist,Visa,"Atlanta, GA, US",2025-06-05,fulltime,direct_data,yearly,90958.0,170400.0,USD,False,,,,,"**Data Architect/Engineering/Science**


Full\-time

 **Date :** Jun 05, 2025


**Location:** Atlanta, GA


**Job \#:** REF84155L


**Job Type:** Full\-time


**Job Description And Responsibilities**
----------------------------------------


This notice is being provided as a result of the filing of an application for permanent alien labor certification for the below job opportunity. Any person may provide documentary evidence bearing on the application to the Certifying Officer of the Department of Labor, at the following address:

  

U.S. Department of Labor  

Employment and Training Administration  

Office of Foreign Labor Certification  

200 Constitution Avenue NW, Room N– 5311  

Washington, DC 20210

  

Visa U.S.A. Inc., a Visa Inc. company, needs a Data Scientist (multiple openings) in Atlanta, GA to:

  

* Be an out\-of\-the\-box thinker who is passionate about brainstorming innovative ways to use our unique data to answer business problems.
* Communicate with clients to understand them challenges they face and convince them with data.
* Extract and understand data to form an opinion on how to best help our clients and derive relevant insights.
* Develop visualizations to make your complex analyses accessible to a broad audience.
* Find opportunities to craft products out of analyses that are suitable for multiple clients.
* Work with stakeholders throughout the organization to identify opportunities for leveraging Visa data to drive business solutions.
* Mine and analyze data from company databases to drive optimization and improvement of product, marketing techniques and business strategies for Visa and its clients.
* Assess the effectiveness and accuracy of new data sources and data gathering techniques.
* Develop custom data models and algorithms to apply to data sets.
* Use predictive modeling to increase and optimize customer experiences, revenue generation, data insights, advertising targeting and
* other business outcomes.
* Develop processes and tools to monitor and analyze model performance. and data accuracy.
* Position reports to the Atlanta, Georgia office and may allow for partial telecommuting.
**Qualifications**
------------------


Basic Qualifications:


Employer will accept a Master's degree in Statistics, Operations Research, Applied Mathematics, Economics, Data Science, Business Analytics, Computer Science, or a related technical field and 2 years of experience in the job offered or in a Data Scientist\-related occupation.


Position requires experience in the following skills:

* Extracting and aggregating data using SQL/Hive or Spark;
* Analyzing large data sets using programming languages such as Python, R, SQL and/or Spark;
* Generating and visualizing data\-based insights in Tableau;
* Managing and organizing work in Word, Excel, PowerPoint and/or Teams;
* Jupyter notebooks, Python, and/or SAS; and
* Data mining and statistical modeling.
**Additional Information**
--------------------------

**Worksite:**Atlanta, GA

**Travel Requirements:** This position does not require travel.

**Mental/Physical Requirements:** This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers.

  

Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.

 **U.S. APPLICANTS ONLY: The estimated salary range for a new hire into this position is $90,958\.00 USD to $170,400\.00 USD per year, which may include potential sales incentive payments (if applicable). Salary may vary depending on job\-related factors which may include knowledge, skills, experience, and location. In addition, this position may be eligible for bonus and equity. Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program.**


If interested in the position, please reference job number REF84155L when applying through the inhouse media requisition posting, via SmartRecruiters.",Banks And Financial Services,https://www.indeed.com/cmp/Visa,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/424e574b0a65615c2d593985d0324d96,http://www.visa.com,"One Market Plaza, 5th Floor
San Francisco, CA 94105","10,000+",more than $10B (USD),"Our Purpose is to... Uplift everyone, everywhere by being the best way to pay and be paid.",,,,,,
in-75bb455884554696,indeed,https://www.indeed.com/viewjob?jk=75bb455884554696,https://www2.jobdiva.com/candidates/myjobs/openjob_outside.jsp?a=gqjdnwjcebrekv6n9h8rbmzzvmztk50234z9012psk4xgcxd6b4y7ufhtefg6g6v&from=COMP&id=25652800&SearchString=&StatesString=,Sr Data Scientist Omnichannel,BayOne Solutions,"Katy, TX, US",2025-06-05,fulltime,,yearly,,,USD,False,,,,,"**Job Title:** Sr Data Scientist Omnichannel
  
  

**Location:** Katy, TX(Onsite)
  
  

**Job Type:** Full\-time
  
  

**Salary:** $125K/Annum
  
  

**Education:**  

Bachelor's degree (BA, BS with strong coursework in a quantitative field, such as Engineering, in Data Science, Computer
  
Science, Statistics, Mathematics, Economics, Engineering, or a related field, or equivalent years of work experience
  
Master’s degree preferred
  
  

**Work Experiences:**  

4\+ Years in data analytics, business intelligence, or data engineering. Data Science Experience preferred
  
2 years in a senior analyst capacity, preferably within an enterprise or large\-scale organization
  
Experience with retail analytics \+ omnichannel will be a plus
  
  

**Skills:**  

Ability to work well under pressure while consistently meeting time\-sensitive deadlines
  
Ability to work well independently, as well as effectively contribute to a team environment
  
Ability to prioritize workload, meet multiple deadlines simultaneously in a fast\-paced, frequently changing environment
  
Strong interpersonal, written, and verbal communication skills, detail\-oriented, with the ability to interact with all levels of end users and technical resources
  
Proficiency in programming languages such as Python, R, or Scala
  
Expertise in machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, Scikit\-Learn). Preference toward experience in a cloud enterprise environment, such as Google Cloud Platform (GCP) (BigQuery is a plus) / Azure / Amazon Web Services (AWS)
  
Advanced knowledge of SQL and experience with relational and non\-relational databases, with a focus on transforming data
  
to prepare for analysis and machine learning. 3\+ years of experience in enterprise\-grade data visualization tools (e.g., Tableau, Power BI, Looker, MicroStrategy)
  
Strong Microsoft Office program experience, including Excel, Word, and PowerPoint.
  
  

**Responsibilities:**  

**Data Analysis \& Modeling:** Design and develop complex predictive and prescriptive models using advanced statistical and machine learning techniques. Utilizing data\-science techniques, explore the data to uncover patterns and correlations, predict customer behavior, and preemptively identify potential problems. Contribute to company A/B testing framework and recommend results
  
**Data Collection \& Management:** Lead the acquisition, integration, and cleaning of diverse and complex datasets from multiple sources to ensure data quality and reliability
  
**Data Product Ownership:** Drive end\-to\-end data science products from ideation to production, including problem definition, data exploration, model development, and result validation, documentation, and monitoring.
  
**Collaboration:** Work closely with stakeholders across business units, including product, finance, marketing, operations, and IT, to understand business needs, define requirements, and align data science solutions with business objectives.
  
**Data Visualization \& Communication:** Create compelling visualizations and presentations that effectively communicate complex analysis, insights, and recommendations to both technical and non\-technical audiences.
  
**Model Deployment \& Scaling:** Implement and optimize machine learning models in production environments, ensuring they are scalable, efficient, and reliable
  
**Mentorship \& Leadership:** Lead by example to build a culture of accountability and rigor to substantiate proven business impact with data, providing mentorship and guidance to other analysts on the team
  
**Innovation:** Keep current with technical and industry developments, tools, and technologies in the field of data science, and identify opportunities for continuous improvement and innovation within the organization
  
  

Physical Requirements \& Attendance
  
  

Acceptable level of hearing and vision to perform job duties
  
Adhere to company work hours, policies, procedures, and rules governing professional staff behavior
  
Regular attendance required
  
  

BayOne is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any federal, state, or local protected class. This job posting represents the general duties and requirements necessary to perform this position and is not an exhaustive statement of all responsibilities, duties, and skills required. Management reserves the right to revise or alter this job description.",,https://www.indeed.com/cmp/Bayone-Solutions,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/46fab688f1c649df8151425905d08862,https://bayone.com/,Pleasanton,"1,001 to 5,000",$5M to $25M (USD),,,,,,,
in-e6ccfee8faa9495a,indeed,https://www.indeed.com/viewjob?jk=e6ccfee8faa9495a,https://careers.equifax.com/en/jobs/j00168512/director-of-data-science-identity-and-fraud/,"Director of Data Science, Identity and Fraud",Equifax,"Boise, ID, US",2025-06-04,fulltime,direct_data,yearly,155708.0,208875.0,USD,False,,,,,"Equifax is seeking a Director of Data Science to lead our Fraud and Identity Team in our Boise, Idaho office.


This is a hands on player/coach role and a great opportunity to join a tight knit growing team. This role is required to be in our Boise office 3 days/week on Tuesdays, Wednesdays and Thursdays.


**What you will do**

* Utilize subject matter expertise of data structures, analytics, algorithms/models, and strong computer science fundamentals to lead data preparation, analytics, and development of deployable solutions across multiple projects
* Collect, analyze and interpret large data assets to define and build multiple innovative solution components leveraging business and technical expertise. Lead the analytical strategy on critical technical capabilities
* Evaluate new data sources, provide recommendations on the value of data sources, and design code to improve the productivity of Equifax, enhance and update code where needed. Ensure quality of the code is intact.
* Manages teams that lead multiple programs of solutions that generate significant Equifax revenue. Facilitates stakeholder collaboration to support the development of predictive models, risk assessments, fraud detection, recommendation engines, etc. influencing decisions on the solution and enabling teams to execute, escalating and removing obstacles as appropriate.
* Conduct resource assignment and weigh multiple priorities to drive the right business decisions
* Partner across multiple functional units to execute goals
* Package, summarize, visualize and perform storytelling on analytical findings and results for management and senior business users
* Communicate results to senior management and external stakeholders, able to communicate the strategic impact of the work
* Architect multiple innovative solution components leveraging business and technical expertise
* Perform as lead technical data scientist for multiple technical and business domains.
* Evaluate the technical work of experienced data scientists guiding them on deliverable quality and accuracy

**What experience you need**

* BS degree in a STEM major or equivalent discipline; Master’s Degree strongly preferred
* 7\+ years of related experience with experience demonstrating leadership capabilities and/or functioning as a team lead/supervisor
* Advanced Machine Learning \& Statistical Modeling: Deep theoretical and practical expertise in a wide range of machine learning algorithms (e.g., supervised, unsupervised, reinforcement learning), statistical modeling techniques, and predictive analytics.
* Graph Databases \& Network Analysis: Experience with graph databases (e.g., Neo4j, Neptune) and apply network analysis techniques to identify complex relationships, and anomalies that traditional methods may miss.
* Proficiency in Deep Learning Frameworks: Command of at least one major deep learning framework, such as TensorFlow or PyTorch, as well as, an understanding of transfer learning, text embedding, RAG, LLM fine tuning and Agentic AI.
* Programming \& Scripting: Expert\-level proficiency in programming languages commonly used in data science, such as Python (with libraries like scikit\-learn, TensorFlow, PyTorch, Pandas, NumPy), R, or SAS.
* Data Manipulation \& Feature Engineering: Strong capabilities in data extraction, transformation, and loading (ETL), as well as advanced feature engineering to prepare diverse datasets for robust model development. Pipeline development and optimization.
* Model Validation \& Explainability: Experience with rigorous model validation techniques, performance evaluation metrics (e.g., precision, recall, F1\-score, KS, AUC\-ROC for imbalanced classes), and model interpretability/explainability (XAI) frameworks.
* Cloud certification strongly preferred
* Additional role\-based certifications may be required depending upon region/BU requirements

  

**What could set you apart**

* Experimentation \& A/B Testing: Familiarity with designing and executing A/B tests and other experimental methodologies to evaluate the effectiveness of fraud strategies and models.
* Big Data Technologies \& Distributed Computing: Hands\-on experience with big data platforms (e.g., Spark, Kafka) and cloud\-based data warehouses(e.g., BigQuery, Snowflake, Redshift), along with proficiency in distributed computing for large\-scale data processing and model training.",,https://www.indeed.com/cmp/Equifax,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/efbb17d048a8f4cdb03c50fa792982ce,https://careers.equifax.com/,"Atlanta, GA","10,000+",$1B to $5B (USD),"Our dedicated team of 14,000 people around the world is united by a singular purpose: helping people live their financial best.",,,,,,
li-4241287128,linkedin,https://www.linkedin.com/jobs/view/4241287128,,"AI / Machine Learning Engineer (early-career, on-site full time)",Lockheed Martin,"Moorestown, NJ",2025-06-04,,,,,,,False,,,,,,,https://www.linkedin.com/company/lockheed-martin,,,,,,,,,,,,
li-4245517976,linkedin,https://www.linkedin.com/jobs/view/4245517976,,AI/ML Engineer,"Stralynn Consulting Services, Inc","Windsor Mill, MD",,,,,,,,False,,,,,,,https://www.linkedin.com/company/stralynn-consulting-services-inc,,,,,,,,,,,,
li-4242941074,linkedin,https://www.linkedin.com/jobs/view/4242941074,,AI / ML Developer or Engineer,Savannah River Mission Completion,"Aiken, SC",,,,,,,,False,,,,,,,https://www.linkedin.com/company/savannah-river-mission-completion,,,,,,,,,,,,
li-4242692570,linkedin,https://www.linkedin.com/jobs/view/4242692570,,Python Developer,Apexon,"Richardson, TX",,,,,,,,False,,,,,,,https://www.linkedin.com/company/apexon,,,,,,,,,,,,
li-4245764342,linkedin,https://www.linkedin.com/jobs/view/4245764342,,Machine Learning Engineer,PROCEPT BioRobotics,"San Jose, CA",,,,,,,,False,,,,,,,https://www.linkedin.com/company/procept-corporation,,,,,,,,,,,,
